kind,seed,panel,unit_row,column,lap,phase_bin,value
trained,2,globalnorm,3,32,1,32,-0.9059
trained,2,globalnorm,3,33,1,33,-0.92837
trained,2,globalnorm,3,34,1,34,-0.91671
trained,2,globalnorm,3,35,1,35,-0.94508
trained,2,globalnorm,3,36,1,36,-0.97169
trained,2,globalnorm,3,37,1,37,-0.99332
trained,2,globalnorm,3,38,1,38,-1.0
trained,2,globalnorm,3,39,1,39,-0.93848
trained,2,globalnorm,3,40,2,0,-0.9218
trained,2,globalnorm,3,41,2,1,-0.91509
trained,2,globalnorm,3,42,2,2,-0.92567
trained,2,globalnorm,3,43,2,3,-0.91122
trained,2,globalnorm,3,44,2,4,-0.90329
trained,2,globalnorm,3,45,2,5,-0.9029
trained,2,globalnorm,3,46,2,6,-0.87962
trained,2,globalnorm,3,47,2,7,-0.87824
trained,2,globalnorm,3,48,2,8,-0.88577
trained,2,globalnorm,3,49,2,9,-0.88001
trained,2,globalnorm,3,50,2,10,-0.85078
trained,2,globalnorm,3,51,2,11,-0.81303
trained,2,globalnorm,3,52,2,12,-0.80051
trained,2,globalnorm,3,53,2,13,-0.80097
trained,2,globalnorm,3,54,2,14,-0.80102
trained,2,globalnorm,3,55,2,15,-0.79398
trained,2,globalnorm,3,56,2,16,-0.80102
trained,2,globalnorm,3,57,2,17,-0.81455
trained,2,globalnorm,3,58,2,18,-0.80752
trained,2,globalnorm,3,59,2,19,-0.78377
trained,2,globalnorm,3,60,2,20,-0.74534
trained,2,globalnorm,3,61,2,21,-0.73546
trained,2,globalnorm,3,62,2,22,-0.7518
trained,2,globalnorm,3,63,2,23,-0.73561
trained,2,globalnorm,3,64,2,24,-0.71398
trained,2,globalnorm,3,65,2,25,-0.6586
trained,2,globalnorm,3,66,2,26,-0.58087
trained,2,globalnorm,3,67,2,27,-0.54261
trained,2,globalnorm,3,68,2,28,-0.50037
trained,2,globalnorm,3,69,2,29,-0.4865
trained,2,globalnorm,3,70,2,30,-0.4691
trained,2,globalnorm,3,71,2,31,-0.43981
trained,2,globalnorm,3,72,2,32,-0.40513
trained,2,globalnorm,3,73,2,33,-0.38789
trained,2,globalnorm,3,74,2,34,-0.35952
trained,2,globalnorm,3,75,2,35,-0.35033
trained,2,globalnorm,3,76,2,36,-0.33037
trained,2,globalnorm,3,77,2,37,-0.30915
trained,2,globalnorm,3,78,2,38,-0.30725
trained,2,globalnorm,3,79,2,39,-0.23763
trained,2,globalnorm,3,80,3,0,-0.17214
trained,2,globalnorm,3,81,3,1,-0.13195
