D_train,D_test,ratio,mode,phase,base_seed,acc_pct_mean_over_retime_seeds,n_retime_seeds
30,130,4.3333,rand_complex,transfer,5,34.367,3
30,130,4.3333,rand_complex,transfer,6,33.017,3
30,130,4.3333,rand_complex,transfer,7,35.883,3
30,130,4.3333,rand_complex,transfer,8,40.6,3
30,130,4.3333,rand_complex,transfer,9,34.133,3
30,130,4.3333,rand_complex,transfer,72,35.35,3
30,140,4.6667,hippo,recovery,1,46.867,3
30,140,4.6667,hippo,recovery,2,71.633,3
30,140,4.6667,hippo,recovery,3,54.917,3
30,140,4.6667,hippo,recovery,4,58.583,3
30,140,4.6667,hippo,recovery,5,61.35,3
30,140,4.6667,hippo,recovery,6,72.733,3
30,140,4.6667,hippo,recovery,7,53.9,3
30,140,4.6667,hippo,recovery,8,75.75,3
30,140,4.6667,hippo,recovery,9,67.15,3
30,140,4.6667,hippo,recovery,72,76.483,3
30,140,4.6667,hippo,transfer,1,34.067,3
30,140,4.6667,hippo,transfer,2,55.367,3
30,140,4.6667,hippo,transfer,3,38.117,3
30,140,4.6667,hippo,transfer,4,45.333,3
30,140,4.6667,hippo,transfer,5,35.1,3
30,140,4.6667,hippo,transfer,6,69.483,3
30,140,4.6667,hippo,transfer,7,33.667,3
30,140,4.6667,hippo,transfer,8,46.817,3
30,140,4.6667,hippo,transfer,9,49.717,3
30,140,4.6667,hippo,transfer,72,58.933,3
30,140,4.6667,rand_complex,recovery,1,44.483,3
30,140,4.6667,rand_complex,recovery,2,45.267,3
30,140,4.6667,rand_complex,recovery,3,34.783,3
30,140,4.6667,rand_complex,recovery,4,33.2,3
30,140,4.6667,rand_complex,recovery,5,35.533,3
30,140,4.6667,rand_complex,recovery,6,48.95,3
30,140,4.6667,rand_complex,recovery,7,56.55,3
30,140,4.6667,rand_complex,recovery,8,48.55,3
30,140,4.6667,rand_complex,recovery,9,36.883,3
30,140,4.6667,rand_complex,recovery,72,47.333,3
30,140,4.6667,rand_complex,transfer,1,35.1,3
30,140,4.6667,rand_complex,transfer,2,36.217,3
30,140,4.6667,rand_complex,transfer,3,34.583,3
30,140,4.6667,rand_complex,transfer,4,32.05,3
30,140,4.6667,rand_complex,transfer,5,34.467,3
30,140,4.6667,rand_complex,transfer,6,32.933,3
30,140,4.6667,rand_complex,transfer,7,35.433,3
30,140,4.6667,rand_complex,transfer,8,40.65,3
30,140,4.6667,rand_complex,transfer,9,33.75,3
30,140,4.6667,rand_complex,transfer,72,35.3,3
30,150,5.0,hippo,recovery,1,44.667,3
30,150,5.0,hippo,recovery,2,71.117,3
30,150,5.0,hippo,recovery,3,58.617,3
30,150,5.0,hippo,recovery,4,52.067,3
30,150,5.0,hippo,recovery,5,60.583,3
30,150,5.0,hippo,recovery,6,72.6,3
30,150,5.0,hippo,recovery,7,55.717,3
30,150,5.0,hippo,recovery,8,76.75,3
30,150,5.0,hippo,recovery,9,64.633,3
30,150,5.0,hippo,recovery,72,76.517,3
30,150,5.0,hippo,transfer,1,35.567,3
30,150,5.0,hippo,transfer,2,55.55,3
30,150,5.0,hippo,transfer,3,35.667,3
30,150,5.0,hippo,transfer,4,44.217,3
30,150,5.0,hippo,transfer,5,36.267,3
30,150,5.0,hippo,transfer,6,66.033,3
30,150,5.0,hippo,transfer,7,32.617,3
30,150,5.0,hippo,transfer,8,47.45,3
30,150,5.0,hippo,transfer,9,45.15,3
30,150,5.0,hippo,transfer,72,51.517,3
30,150,5.0,rand_complex,recovery,1,44.833,3
30,150,5.0,rand_complex,recovery,2,42.367,3
30,150,5.0,rand_complex,recovery,3,34.55,3
30,150,5.0,rand_complex,recovery,4,41.983,3
30,150,5.0,rand_complex,recovery,5,33.5,3
30,150,5.0,rand_complex,recovery,6,47.317,3
30,150,5.0,rand_complex,recovery,7,52.217,3
30,150,5.0,rand_complex,recovery,8,46.917,3
30,150,5.0,rand_complex,recovery,9,36.233,3
30,150,5.0,rand_complex,recovery,72,40.467,3
30,150,5.0,rand_complex,transfer,1,35.65,3
30,150,5.0,rand_complex,transfer,2,35.583,3
30,150,5.0,rand_complex,transfer,3,34.517,3
30,150,5.0,rand_complex,transfer,4,34.067,3
30,150,5.0,rand_complex,transfer,5,34.333,3
30,150,5.0,rand_complex,transfer,6,33.1,3
30,150,5.0,rand_complex,transfer,7,35.067,3
30,150,5.0,rand_complex,transfer,8,39.8,3
30,150,5.0,rand_complex,transfer,9,33.75,3
30,150,5.0,rand_complex,transfer,72,34.317,3
30,160,5.3333,hippo,recovery,1,45.133,3
30,160,5.3333,hippo,recovery,2,68.983,3
30,160,5.3333,hippo,recovery,3,63.817,3
30,160,5.3333,hippo,recovery,4,46.483,3
30,160,5.3333,hippo,recovery,5,60.117,3
30,160,5.3333,hippo,recovery,6,69.9,3
30,160,5.3333,hippo,recovery,7,58.5,3
30,160,5.3333,hippo,recovery,8,79.083,3
30,160,5.3333,hippo,recovery,9,59.0,3
30,160,5.3333,hippo,recovery,72,74.533,3
30,160,5.3333,hippo,transfer,1,36.95,3
30,160,5.3333,hippo,transfer,2,50.4,3
30,160,5.3333,hippo,transfer,3,34.883,3
30,160,5.3333,hippo,transfer,4,43.8,3
30,160,5.3333,hippo,transfer,5,35.833,3
