mode,phase,seed,sort,unit_rank,time_bin,peak_count,value
hippo,initial_d30,1,freq,12,9,1,0.37815
hippo,initial_d30,1,freq,12,10,1,0.30911
hippo,initial_d30,1,freq,12,11,1,0.24009
hippo,initial_d30,1,freq,12,12,1,0.17108
hippo,initial_d30,1,freq,12,13,1,0.10209
hippo,initial_d30,1,freq,12,14,1,0.0331
hippo,initial_d30,1,freq,12,15,1,-0.03587
hippo,initial_d30,1,freq,12,16,1,-0.10483
hippo,initial_d30,1,freq,12,17,1,-0.17377
hippo,initial_d30,1,freq,12,18,1,-0.2427
hippo,initial_d30,1,freq,12,19,1,-0.31162
hippo,initial_d30,1,freq,12,20,1,-0.38052
hippo,initial_d30,1,freq,12,21,1,-0.44941
hippo,initial_d30,1,freq,12,22,1,-0.51828
hippo,initial_d30,1,freq,12,23,1,-0.58715
hippo,initial_d30,1,freq,12,24,1,-0.65599
hippo,initial_d30,1,freq,12,25,1,-0.72482
hippo,initial_d30,1,freq,12,26,1,-0.79364
hippo,initial_d30,1,freq,12,27,1,-0.86245
hippo,initial_d30,1,freq,12,28,1,-0.93123
hippo,initial_d30,1,freq,12,29,1,-1.0
hippo,initial_d30,1,freq,13,0,1,1.0
hippo,initial_d30,1,freq,13,1,1,0.91696
hippo,initial_d30,1,freq,13,2,1,0.83465
hippo,initial_d30,1,freq,13,3,1,0.75314
hippo,initial_d30,1,freq,13,4,1,0.67243
hippo,initial_d30,1,freq,13,5,1,0.59256
hippo,initial_d30,1,freq,13,6,1,0.51356
hippo,initial_d30,1,freq,13,7,1,0.43546
hippo,initial_d30,1,freq,13,8,1,0.35829
hippo,initial_d30,1,freq,13,9,1,0.28208
hippo,initial_d30,1,freq,13,10,1,0.20685
hippo,initial_d30,1,freq,13,11,1,0.13264
hippo,initial_d30,1,freq,13,12,1,0.05947
hippo,initial_d30,1,freq,13,13,1,-0.01263
hippo,initial_d30,1,freq,13,14,1,-0.08363
hippo,initial_d30,1,freq,13,15,1,-0.15351
hippo,initial_d30,1,freq,13,16,1,-0.22224
hippo,initial_d30,1,freq,13,17,1,-0.28979
hippo,initial_d30,1,freq,13,18,1,-0.35614
hippo,initial_d30,1,freq,13,19,1,-0.42127
hippo,initial_d30,1,freq,13,20,1,-0.48515
hippo,initial_d30,1,freq,13,21,1,-0.54774
hippo,initial_d30,1,freq,13,22,1,-0.60905
hippo,initial_d30,1,freq,13,23,1,-0.66904
hippo,initial_d30,1,freq,13,24,1,-0.72768
hippo,initial_d30,1,freq,13,25,1,-0.78496
hippo,initial_d30,1,freq,13,26,1,-0.84085
hippo,initial_d30,1,freq,13,27,1,-0.89534
hippo,initial_d30,1,freq,13,28,1,-0.94839
hippo,initial_d30,1,freq,13,29,1,-1.0
hippo,initial_d30,1,freq,14,0,1,1.0
hippo,initial_d30,1,freq,14,1,1,0.92816
hippo,initial_d30,1,freq,14,2,1,0.85649
hippo,initial_d30,1,freq,14,3,1,0.78498
hippo,initial_d30,1,freq,14,4,1,0.71364
hippo,initial_d30,1,freq,14,5,1,0.64247
hippo,initial_d30,1,freq,14,6,1,0.57149
hippo,initial_d30,1,freq,14,7,1,0.50069
hippo,initial_d30,1,freq,14,8,1,0.43009
hippo,initial_d30,1,freq,14,9,1,0.35967
hippo,initial_d30,1,freq,14,10,1,0.28946
hippo,initial_d30,1,freq,14,11,1,0.21946
hippo,initial_d30,1,freq,14,12,1,0.14966
hippo,initial_d30,1,freq,14,13,1,0.08008
hippo,initial_d30,1,freq,14,14,1,0.01073
hippo,initial_d30,1,freq,14,15,1,-0.05842
hippo,initial_d30,1,freq,14,16,1,-0.12732
hippo,initial_d30,1,freq,14,17,1,-0.19599
hippo,initial_d30,1,freq,14,18,1,-0.26442
hippo,initial_d30,1,freq,14,19,1,-0.33261
hippo,initial_d30,1,freq,14,20,1,-0.40055
hippo,initial_d30,1,freq,14,21,1,-0.46823
hippo,initial_d30,1,freq,14,22,1,-0.53565
hippo,initial_d30,1,freq,14,23,1,-0.60281
hippo,initial_d30,1,freq,14,24,1,-0.66971
hippo,initial_d30,1,freq,14,25,1,-0.73634
hippo,initial_d30,1,freq,14,26,1,-0.80268
hippo,initial_d30,1,freq,14,27,1,-0.86874
hippo,initial_d30,1,freq,14,28,1,-0.93452
hippo,initial_d30,1,freq,14,29,1,-1.0
hippo,initial_d30,1,freq,15,0,1,1.0
hippo,initial_d30,1,freq,15,1,1,0.86505
hippo,initial_d30,1,freq,15,2,1,0.73386
hippo,initial_d30,1,freq,15,3,1,0.60654
hippo,initial_d30,1,freq,15,4,1,0.48328
hippo,initial_d30,1,freq,15,5,1,0.36416
hippo,initial_d30,1,freq,15,6,1,0.24933
hippo,initial_d30,1,freq,15,7,1,0.13892
hippo,initial_d30,1,freq,15,8,1,0.03303
hippo,initial_d30,1,freq,15,9,1,-0.06821
hippo,initial_d30,1,freq,15,10,1,-0.16471
hippo,initial_d30,1,freq,15,11,1,-0.25635
hippo,initial_d30,1,freq,15,12,1,-0.34304
hippo,initial_d30,1,freq,15,13,1,-0.42469
hippo,initial_d30,1,freq,15,14,1,-0.5012
hippo,initial_d30,1,freq,15,15,1,-0.57252
hippo,initial_d30,1,freq,15,16,1,-0.63854
hippo,initial_d30,1,freq,15,17,1,-0.6992
hippo,initial_d30,1,freq,15,18,1,-0.75444
hippo,initial_d30,1,freq,15,19,1,-0.80419
hippo,initial_d30,1,freq,15,20,1,-0.84843
hippo,initial_d30,1,freq,15,21,1,-0.88708
hippo,initial_d30,1,freq,15,22,1,-0.92012
hippo,initial_d30,1,freq,15,23,1,-0.94749
hippo,initial_d30,1,freq,15,24,1,-0.96919
hippo,initial_d30,1,freq,15,25,1,-0.98517
hippo,initial_d30,1,freq,15,26,1,-0.99545
hippo,initial_d30,1,freq,15,27,1,-1.0
hippo,initial_d30,1,freq,15,28,1,-0.99879
hippo,initial_d30,1,freq,15,29,1,-0.99186
hippo,initial_d30,1,freq,16,0,1,1.0
hippo,initial_d30,1,freq,16,1,1,0.93046
hippo,initial_d30,1,freq,16,2,1,0.8618
hippo,initial_d30,1,freq,16,3,1,0.79269
hippo,initial_d30,1,freq,16,4,1,0.72342
hippo,initial_d30,1,freq,16,5,1,0.65434
hippo,initial_d30,1,freq,16,6,1,0.58526
hippo,initial_d30,1,freq,16,7,1,0.5163
hippo,initial_d30,1,freq,16,8,1,0.44718
hippo,initial_d30,1,freq,16,9,1,0.37835
hippo,initial_d30,1,freq,16,10,1,0.30946
hippo,initial_d30,1,freq,16,11,1,0.24043
hippo,initial_d30,1,freq,16,12,1,0.17118
hippo,initial_d30,1,freq,16,13,1,0.1026
hippo,initial_d30,1,freq,16,14,1,0.03307
hippo,initial_d30,1,freq,16,15,1,-0.03544
hippo,initial_d30,1,freq,16,16,1,-0.10451
hippo,initial_d30,1,freq,16,17,1,-0.17381
hippo,initial_d30,1,freq,16,18,1,-0.24213
hippo,initial_d30,1,freq,16,19,1,-0.31128
hippo,initial_d30,1,freq,16,20,1,-0.38021
hippo,initial_d30,1,freq,16,21,1,-0.44892
hippo,initial_d30,1,freq,16,22,1,-0.51803
hippo,initial_d30,1,freq,16,23,1,-0.58698
hippo,initial_d30,1,freq,16,24,1,-0.65561
hippo,initial_d30,1,freq,16,25,1,-0.72453
hippo,initial_d30,1,freq,16,26,1,-0.79333
hippo,initial_d30,1,freq,16,27,1,-0.86191
hippo,initial_d30,1,freq,16,28,1,-0.93109
hippo,initial_d30,1,freq,16,29,1,-1.0
hippo,initial_d30,1,freq,17,0,1,1.0
hippo,initial_d30,1,freq,17,1,1,0.92858
hippo,initial_d30,1,freq,17,2,1,0.85734
hippo,initial_d30,1,freq,17,3,1,0.78626
hippo,initial_d30,1,freq,17,4,1,0.71535
hippo,initial_d30,1,freq,17,5,1,0.64463
hippo,initial_d30,1,freq,17,6,1,0.57406
hippo,initial_d30,1,freq,17,7,1,0.50367
hippo,initial_d30,1,freq,17,8,1,0.43346
hippo,initial_d30,1,freq,17,9,1,0.36343
hippo,initial_d30,1,freq,17,10,1,0.29357
hippo,initial_d30,1,freq,17,11,1,0.22388
